Title,Year,Hours,Horsepower,Location,Price,URL
Case Puma 160,2013,"5,600
                                                                                                    h","175
                                                                                                    hp","United Kingdom,            , Northern Ireland              (Down)","44,010 €",https://www.agriaffaires.co.uk/used/farm-tractor/45112857/case-puma-160.html
New Holland T7.235,2015,"4,000
                                                                                                    h","235
                                                                                                    hp","United Kingdom,            , Northern Ireland              (Down)","61,157 €",https://www.agriaffaires.co.uk/used/farm-tractor/44384874/new-holland-t7-235.html
Case IH PUMA 185,2015,"6,000
                                                                                                    h","220
                                                                                                    hp","United Kingdom,            , Northern Ireland              (Down)","49,726 €",https://www.agriaffaires.co.uk/used/farm-tractor/45112854/case-ih-puma-185.html
New Holland T6080 RC,2008,"8,400
                                                                                                    h","175
                                                                                                    hp","United Kingdom,            , Northern Ireland              (Down)","36,580 €",https://www.agriaffaires.co.uk/used/farm-tractor/44122029/new-holland-t6080-rc.html
Case MAXXUM 110,2016,"4,000
                                                                                                    h","140
                                                                                                    hp","United Kingdom,            , Northern Ireland              (Down)","49,726 €",https://www.agriaffaires.co.uk/used/farm-tractor/44384845/case-maxxum-110.html
John Deere 6155R,2020,"5,100
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , East of England              (Cambridgeshire)","88,592 €",https://www.agriaffaires.co.uk/used/farm-tractor/43530808/john-deere-6155r.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 5100M,2019,"462
                                                                                                    h","100
                                                                                                    hp","United Kingdom,            , South East England","45,668 €",https://www.agriaffaires.co.uk/used/farm-tractor/45112827/john-deere-5100m.html
John Deere 6195R,2019,"3,580
                                                                                                    h","195
                                                                                                    hp","United Kingdom,            , South East England","102,824 €",https://www.agriaffaires.co.uk/used/farm-tractor/45112822/john-deere-6195r.html
Claas USED ARION 620 CIS,2014,"6,602
                                                                                                    h",N/A,"United Kingdom,            , Scotland              (Dumfries)","40,009 €",https://www.agriaffaires.co.uk/used/farm-tractor/44796475/claas-used-arion-620-cis.html
Massey Ferguson 265 8S,2022,"1,524
                                                                                                    h","265
                                                                                                    hp","United Kingdom,            , South East England","120,027 €",https://www.agriaffaires.co.uk/used/farm-tractor/45082801/massey-ferguson-265-8s.html
Fendt 828 PROFI PLUS,2020,"4,984
                                                                                                    h","280
                                                                                                    hp","United Kingdom,            , South West England","118,313 €",https://www.agriaffaires.co.uk/used/farm-tractor/44582779/fendt-828-profi-plus.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Claas ARION 650,"6,288
                                                                                                    h",N/A,N/A,"United Kingdom,            , South West England","37,723 €",https://www.agriaffaires.co.uk/used/farm-tractor/45082827/claas-arion-650.html
John Deere 7250R,2015,"5,436
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , South East England","74,017 €",https://www.agriaffaires.co.uk/used/farm-tractor/45080265/john-deere-7250r.html
Case 785,1986,"78
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","4,287 €",https://www.agriaffaires.co.uk/used/farm-tractor/44858782/case-785.html
John Deere 6400,1993,"100
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","9,431 €",https://www.agriaffaires.co.uk/used/farm-tractor/44680618/john-deere-6400.html
Fendt 942,2021,"2,900
                                                                                                    h","420
                                                                                                    hp","United Kingdom,            , South West England","227,195 €",https://www.agriaffaires.co.uk/used/farm-tractor/45028306/fendt-942.html
Case IH MAXXUM 120,2007,"5,260
                                                                                                    h",N/A,"United Kingdom,            , East Midlands              (Lincolnshire)","29,150 €",https://www.agriaffaires.co.uk/used/farm-tractor/45080294/case-ih-maxxum-120.html
Valtra N175A,Valtra N175A,For sale / Offers,N175A,"United Kingdom,            , East Midlands",N/A N/A,https://www.agriaffaires.co.uk/new/farm-tractor/44952912/valtra-n175a.html
John Deere 6230 PREMIUM,2007,"100
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","28,292 €",https://www.agriaffaires.co.uk/used/farm-tractor/45112751/john-deere-6230-premium.html
Ford 6640 SL,"7,116
                                                                                                    h",N/A,N/A,"United Kingdom,            , South West England","16,289 €",https://www.agriaffaires.co.uk/used/farm-tractor/44746722/ford-6640-sl.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
"John Deere 7930 4wd Tractor, Autopower",2010,"9,205
                                                                                                    h","220
                                                                                                    hp","United Kingdom,            , East Midlands","61,157 €",https://www.agriaffaires.co.uk/used/farm-tractor/45004531/john-deere-7930-4wd-tractor-autopower.html
