Name,Address,Postal Code,Locality,Brands,Website,URL
,,,,,
BayWa AG Murnau,Straßäcker 31,82418,Murnau am Staffelsee - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, Valtra, CLAAS",www.baywa-standorte.de/landtechnikmurnau/
Bremer Maschinenbau GmbH,Schmiedestraße 10,31249,Hohenhameln - Germany,Bremer,
HOLMER Maschinenbau GmbH,Regensburger Strasse 20,84069,"Schierling, OT Eggmühl - Germany",,holmer-maschinenbau.com
Chorbacher GmbH,Am Markt 11,91598,Colmberg - Germany,,
KUMM Technik,Industriepark 70 -74,56593,Krunkel - Germany,,
CLAAS Main-Donau  GmbH & Co. KG - Wassertrüdingen,Bahnhofstraße 34,91717,Wassertrüdingen - Germany,CLAAS,
CLAAS Main-Donau  GmbH & Co. KG - Schlüsselfeld,Steinäcker 4,96132,Schlüsselfeld - Germany,CLAAS,
CLAAS Main-Donau GmbH & Co. KG - Werneck,Am Pfaffenpfad 19,97440,Werneck - Germany,CLAAS,
CLAAS Main-Donau GmbH & Co. KG - Gollhofen,Südstraße 6,97258,Gollhofen - Germany,CLAAS,
Günter Sieben Landtechnik,Rudolf-Diesel-Str. 1,52428,Jülich - Germany,,www.Sieben-Landtechnik.de
Maurer GmbH,Neuweg 4,79365,Rheinhausen - Germany,,
Hilken Fahrzeugbau,Große Straße 16,27412,Vorwerk - OT Buchholz - Germany,,
APS Agrar-und Industrietechnik GmbH & Co.KG,Hünenstein 22,28790,Schwanewede - Germany,,
Horschzentrum,Delitzscher Straße 15,06188,Landsberg OT Sietzsch - Germany,"Amazone, Berthoud, Dammann, Horsch, Inuma, Kerner, Köckerling, Lemken, Vaderstad",www.horschzentrum.de
