Name,Address,Postal Code,Locality,Brands,Website
JEAN BOUVIER SAS,148 zone artisanale de la tuiliere,1300,BREGNIER-CORDON - France,"Kuhn, New Holland Agriculture",www.jean-bouvier.com
SERVIMAC,"47 Boulevard du Docteur Audureau
                                                                    JALLAIS",49510,Beaupréau-en-Mauges - France,"Deutz-Fahr, Same",www.service-agri.fr
Quatuor Transactions,Zone du Bronut,56500,MOREAC - France,,www.quatuor-transactions.com
SARL RECUPERATION AGRICOLE GADET,7 Rue de Vieilleville,49430,BARACE - France,,www.pieces-neuves-agricole.com
BALLANGER,Route de la Gare,17290,AIGREFEUILLE D'AUNIS - France,CLAAS,
BRICO'TECH,ZI Les Fromentaux,38270,BEAUREPAIRE - France,"Balfor, Multione, Pronar, Roltrac, Sipma",
VIARD sas,9 rue des écoles,71760,CRESSY SUR SOMME - France,"Case IH, Caterpillar",
LE NORMAND SAS,Z.I de La Rochette,56120,JOSSELIN - France,,
Migaud SAS,1 rue Virginie Heriot,85170,Dompierre-sur-Yon - France,,
MARIDAT SAS,67 Grande Rue,23800,COLONDANNES - France,"JCB, CLAAS",
DOMBES SAVOIE AGRI,297 ROUTE DE VILLENEUVE,1480,CHALEINS - France,Fendt,
CAP Agri Quercy Service,Route du Bourg,46120,LACAPELLE MARIVAL - France,"Landini, Valtra",
SAS SOMAT,"2, Allée de l'Albatros",80440,Glisy - France,"Fendt, Massey Ferguson",
MECADOC SAS,ZI Engachies,32000,AUCH - France,New Holland Agriculture,
CLOUET ETS,Z.A. de la Porte Rouge,27150,Etrepagny - France,New Holland Agriculture,
FOURCADE SAS,510 Avenue de Daniate,32110,NOGARO - France,"Agrisem, Alpego, Berthoud, Braun, Clemens, Collard, Fendt, Hatzenbichler, Kuhn, Pellenc, Spedo, Vaderstad",www.groupefourcade.fr
AGRI MAT SERVICES ( A.M.S ),7 ROUTE DE BOURBON - LES VIGNES,3160,YGRANDE - France,,
DANTAN SARL,RD 6014,27420,VILLERS EN VEXIN - France,"Amazone, Artec, Chevance, Desvoys, Honda, Husqvarna, Iseki, LeBoulch, Stihl, Vaderstad, Viking, CLAAS",
SARL GOURDEAU & FILS,La Rochemairand,86700,ROMAGNE - France,"Krone, Lemken",
LAMOUREUX GUILLAUME SARL,31 bis RN 43 - BP 4,8110,BLAGNY - France,"Fendt, Massey Ferguson",
GUEUDET 1880 - LA MOTOCULTURE,265 Rue de Clermont,60000,BEAUVAIS - France,CLAAS,
DISTAGRI,"ZI
                                                                    1 rue Henri Rotschi",25120,MAICHE - France,Valtra,
DYNA TOURAINE,La Roche Martel,37370,LOUESTAULT - France,,
TERRINOV,ZI de L’Erette,44810,HERIC - France,"Agrisem, Case IH",
VAMAT,ZA LES COTEAUX DE LA TOUCHE,16330,Vars - France,,www.vamat.fr
ETS BANC ET FILS,160 Route de Mauves,7300,PLATS - France,Case IH,www.banc-agriculture.com
MEYER GILBERT NEGOCE,Place des Fines Herbes ou Zone industrielle Sud - Rue des Ateliers,67210,OBERNAI - France,,
ETS R.MOREAU S.A.S,34 ROUTE DE CHATEAUROUX,36500,BUZANÇAIS - France,"Agrisem, Massey Ferguson",
LORA DISTRIBUTION SARL,12 Rue de Jussey,70500,GEVIGNEY ET MERCEY - France,"Agrisem, Deutz-Fahr, Valtra",
ARSILAC,"806 Avenue Cugnot
                                                                    ZAC des Escampades II",84170,Monteux - France,,
LHERMITE AGRI VERNOUILLET,Boulevard de l'Europe - BP 15,28500,Vernouillet - France,"Caterpillar, John Deere, Kuhn",
TECHMAGRI,2 Grande Rue,10140,AMANCE - France,,
VAUDAUX MANUTENTION AGRI,395 ROUTE DE BOURG,1370,Saint-Etienne-du-Bois - France,"Dieci, Kubota, Lely, Reform",
DAUSQUE AGRI SAS,D 341,62380,LEDINGHEM - France,"Deutz-Fahr, Same, Valtra",www.dausqueagri.com
CHAYS ETS,4 Grande Rue BP 21,25800,VALDAHON - France,Valtra,
SAS WILLEMAND,"130, Route de Frévent",62140,Sainte-Austreberthe - France,"Agrimat, Amazone, Bonnel, BVL, Deutz-Fahr, Grégoire Besson, Kuhn, McHale, Merlo, Monosem",www.willemand.fr
NADAL SARL,1344 rue des routiers - ZA Bel Air,12000,RODEZ - France,Kubota,
GRABE-BIDAU,Chemin Milhe,64160,LOMBIA - France,"Agrisem, CLAAS",
SAS RIVET BMA,GERMANAS,16350,Benest - France,,
PELLENC LANGUEDOC ROUSSILLON,PAE La Baume10 rue des entrepreneurs,34290,SERVIAN - France,"Alpego, Berthoud, Desvoys, Gimbre, Hardi, Jean de Bru, Khun, Maschio, Pellenc, CLAAS",
QUIERS SARL,"15 Route du VEINAZES
                                                                    RD 920",15120,LADINHAC - France,"Agrisem, New Holland Agriculture",
AGRICENTRE 36,ZI des Plantes de Chabenet,36800,LE PONT CHRETIEN - France,"Horsch, John Deere, Kramer, Kuhn",
GUEUDET AGRI AISNE - SN DACHY,35 Route de Chambry,2840,Athies-sous-Laon - France,,
SUOMA SAS OCCASION,58 Route de Nantes,85000,LA ROCHE SUR YON - France,"Agrisem, Kuhn, CLAAS",
AGRICULTURE RIOLAISE SARL - agent KUBOTA,ZA DE LA CHARRIERE,70190,RIOZ - France,,
AGRI 86,5 Route de Châtellerault,86140,ST GENEST D'AMBIERE - France,"Caterpillar, John Deere",
GUYONNET JEAN LOUIS SAS,ZA Les Places - RN 82,42110,CIVENS - France,"Deutz-Fahr, Same",
AGRINOVE,"521, IMPASSE DU PRÉ D'ENFER
                                                                    AGRINOVE",71260,SENOZAN - France,"Case IH, Lucas, Maschio Gaspardo, Pöttinger",
Equipment Machinery Service,1 Rue Emile Desvaux,14500,Vire - France,,
NEUFVILLE AGRI,"31 rue du haras
                                                                    D 925",76450,OUAINVILLE - France,"Caterpillar, Fendt",
BERNARD MATERIELS AGRICOLES,723 AVENUE DE L'INDUSTRIE,1120,DAGNEUX - France,Massey Ferguson,
SAMA,Rue des métiers,27230,THIBERVILLE - France,Massey Ferguson,
AGRILANDADSL SARL,4 rue de l'industrie,56440,Languidic - France,,www.agrilandtrader.com
CLAAS ST OMER,14 Rue Jules Verne - BP 8,62575,BLENDECQUES - France,CLAAS,www.tractomarket.com/blendecques
GARNIER SAS,"5, route du Bancillon
                                                                    Saint Jean la Bussière",69550,Saint-Jean-la-Bussière - France,New Holland Agriculture,
SAS AB ConsultAgri,30 RUE DU REVERMONT,1250,Revonnas - France,"Amazone, Fendt, John Deere, Joskin, Krone, Kuhn, Massey Ferguson, New Holland, Pichon, CLAAS",
SAS AGRI OUEST,8 Rue de la Marechallerie,61350,PASSAIS LA CONCEPTION - France,,
BRETAGRI SA,10 Rue du Clos Michel - ZA Gripail - BP 16,35590,SAINT GILLES - France,"Amazone, Berthoud, Case IH, Caterpillar, Kuhn, McHale, Monosem, MX",
EUROSAMA,Rte Dept 931,32110,LANNE-SOUBIRAN - France,"Case IH, Caterpillar",
AURIAU LA GRIMAUDIERE,20 Rue du Général De Gaulle,86330,LA GRIMAUDIERE - France,"Fendt, JCB",
FREJABISE SN,Cigalou,82200,MONTESQUIEU - France,CLAAS,
DESMIER SARL,ZA,30430,BARJAC - France,,
ARE,14 Rue Albert Caquot,8400,VOUZIERS - France,"Deutz-Fahr, Same",www.are08.com
LANDIMAT SA,RD 924,40250,LAMOTHE - France,New Holland Agriculture,www.landimat-sa.com
SARL MARTIN JOUY AUX ARCHES,56 bis Route de Metz,57130,JOUY AUX ARCHES - France,,
MAT ANJOU,La Rue du Bois,49250,BEAUFORT EN VALLEE - France,,
GROUPE ALEXANDRE ALEXANDRE CONCESSION,RN 12 - Kernilien - BP 10227,22200,Plouisy - France,"Laverda, Merlo, Valtra",
PERRE ET BEYGNIER SARL,19 Route du Puy,43700,ARSAC EN VELAY - France,"Deutz-Fahr, Lamborghini, Same",
CANCE MPM SA,RN 20,31790,ST JORY - France,Krone,
TECHNIQUES AGRICOLES SAS,11 Rue des Prés,68500,Berrwiller - France,"Case IH, Deutz-Fahr, Fliegl, Krone, Kubota, Kuhn, Lamborghini, Rabe, Same, Thievin",
MBA ETS,Au Bourg,64520,GUICHE - France,McCormick,
